time_s,time_us,time_steady,accel[0],accel[1],accel[2],compass[0],compass[1],compass[2],magn_raw[0],magn_raw[1],magn_raw[2],gyro[0],gyro[1],gyro[2],light_diodes[0],light_diodes[1],light_diodes[2],light_diodes[3],light_diodes[4],light_diodes[5],light_diodes[6],light_diodes[7],light_diodes[8],light_diodes[9],light_dir_real[0],light_dir_real[1],light_dir_real[2],light_dir_measured[0],light_dir_measured[1],light_dir_measured[2],light_dir_error,quaternion[0],quaternion[1],quaternion[2],quaternion[3],flags,last_valid_gps_packet_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909105,995000,2450813,-0.17347964644432068,1.2981061935424805,10.006784439086914,2.0405657291412354,-1.445738434791565,-1.8905149698257446,-443.6002502441406,-343.65869140625,-1094.6815185546875,-0.09468410909175873,-0.05253440886735916,-0.1569923609495163,0.551074206829071,0.7798827886581421,0.5099853277206421,0.13535156846046448,0.10231933742761612,0.08217773586511612,0.06364746391773224,0.072509765625,0.12165527045726776,0.08942870795726776,0.0,0.0,0.0,0.32878023386001587,1.2595030069351196,-0.015074127353727818,0.5718162655830383,0.9268593788146973,0.10426618158817291,0.02769176848232746,-0.3595739006996155,0,0,87,11,0,2022-07-04T07:31:45,-260,-4.31675,1656909114.198005,2022-07-04T07:31:54,-260160,-4.336,96.14695909311652
1656909110,533000,2455351,-0.03349951654672623,1.2490533590316772,9.973284721374512,1.947031855583191,-1.5166069269180298,-1.8943583965301514,-421.3910217285156,-321.449462890625,-1090.005859375,-0.07330382615327835,-0.02687807008624077,-0.1771509200334549,0.568798840045929,0.78955078125,0.4970947206020355,0.136962890625,0.08540038764476776,0.08781738579273224,0.06767578423023224,0.07492675632238388,0.12407226860523224,0.11037597805261612,0.0,0.0,0.0,0.33134427666664124,1.2731654644012451,0.02058377116918564,0.574970006942749,0.9197176694869995,0.10460085421800613,0.0262728463858366,-0.3774755299091339,0,0,214,11,0,2022-07-04T07:31:50,-255,-4.241116666666667,1656909119.9813728,2022-07-04T07:31:59,-255622,-4.260366666666667,96.35794169565503
1656909118,371000,2463189,-0.09212367236614227,1.3280165195465088,9.992426872253418,1.9882261753082275,-1.4351928234100342,-1.8864117860794067,-447.1069641113281,-330.80072021484375,-1092.92822265625,-0.07880161702632904,-0.04092797264456749,-0.16310101747512817,0.5945800542831421,0.806469738483429,0.526904284954071,0.15952149033546448,0.13857421278953552,0.0966796875,0.07009277492761612,0.0765380859375,0.12971191108226776,0.11037597805261612,0.0,0.0,0.0,0.3342988193035126,1.3216010332107544,-0.03349726274609566,0.593346118927002,0.9331626892089844,0.07957350462675095,-0.0029297852888703346,-0.3505237102508545,0,0,184,11,0,2022-07-04T07:31:58,-247,-4.110483333333333,1656909127.7897089,2022-07-04T07:32:07,-247784,-4.129733333333333,96.72234928461421
1656909126,968000,2471786,-2.6045873165130615,3.372683525085449,9.91107177734375,2.610793352127075,-1.7920961380004883,-1.9747366905212402,-333.1385192871094,-485.6808776855469,-1118.0596923828125,-0.3390302062034607,-0.2632829248905182,-0.13011430203914642,0.41975098848342896,0.768603503704071,0.4213623106479645,0.1611328125,0.14260253310203552,0.09104003757238388,0.07412109524011612,0.07170410454273224,0.05720214918255806,0.08298339694738388,1.0,1.0784955024719238,1.581390380859375,0.2873416841030121,1.1450831890106201,-0.11924669146537781,0.5936003923416138,0.9359164237976074,0.1823437660932541,0.08822140097618103,-0.28814613819122314,0,2470968,172,11,0,2022-07-04T07:32:06,-239,-3.9672,1656909135.293505,2022-07-04T07:32:15,-239187,-3.98645,97.07070677318569
1656909129,723000,2474540,-1.4392828941345215,2.029113531112671,9.951749801635742,2.3287484645843506,-1.6430081129074097,-1.9543306827545166,-382.8170471191406,-415.5464782714844,-1120.3974609375,-0.09162978827953339,-0.13866640627384186,-0.21441370248794556,0.47050780057907104,0.770214855670929,0.45439451932907104,0.15468749403953552,0.13051757216453552,0.08620605617761612,0.06687011569738388,0.072509765625,0.1007080078125,0.09748534858226776,1.0,1.0783747434616089,1.5815731287002563,0.3037055730819702,1.1914006471633911,-0.054865021258592606,0.5861745476722717,0.9330443739891052,0.13548734784126282,0.05218905210494995,-0.3291621208190918,0,2473973,250,11,0,2022-07-04T07:32:09,-236,-3.9212833333333332,1656909138.561028,2022-07-04T07:32:18,-236433,-3.94055,96.92695835466999
1656909135,116000,2479934,-1.4751750230789185,1.176072359085083,9.767501831054688,2.334181547164917,-1.400170087814331,-1.8839167356491089,-455.289306640625,-414.9620361328125,-1093.5125732421875,-0.11239920556545258,-0.06475171446800232,-0.13500121235847473,0.46647948026657104,0.774243175983429,0.516430675983429,0.18852539360523224,0.12648925185203552,0.11762695014476776,0.11843261867761612,0.12407226860523224,0.14824219048023224,0.11279296875,1.0,1.0781736373901367,1.5818771123886108,0.30535879731178284,1.0632939338684082,-0.050983596593141556,0.8432047367095947,0.8432355523109436,0.09914720058441162,0.050107069313526154,-0.5259400606155396,0,2478965,148,11,0,2022-07-04T07:32:15,-230,-3.8314,1656909144.7200599,2022-07-04T07:32:24,-231039,-3.85065,96.64556625991315
1656909142,504000,2487322,-1.9812570810317993,1.4572288990020752,9.549755096435547,2.4883172512054443,-1.4489134550094604,-1.9047727584838867,-440.093505859375,-452.95147705078125,-1103.4482421875,-0.09407324343919754,-0.10201449692249298,-0.18020524084568024,0.4415039122104645,0.7589355707168579,0.502734363079071,0.19658203423023224,0.14421387016773224,0.07734374701976776,0.07331542670726776,0.08056640625,0.088623046875,0.0845947265625,1.0,1.0779725313186646,1.5821818113327026,0.3087545931339264,1.1177178621292114,-0.14459392428398132,0.5788682699203491,0.9394246339797974,0.13553299009799957,0.11124762892723083,-0.29451003670692444,0,2483964,102,11,0,2022-07-04T07:32:22,-223,-3.708266666666667,1656909152.038993,2022-07-04T07:32:32,-223651,-3.727516666666667,97.40684383305688
1656909154,271000,2499089,0.14715859293937683,0.259621262550354,9.92303466796875,1.9584101438522339,-1.382131814956665,-1.8474500179290771,-460.54937744140625,-323.20281982421875,-1068.965576171875,-0.07880161702632904,-0.0403171069920063,-0.1569923609495163,0.5696045160293579,0.7831054925918579,0.613110363483429,0.18852539360523224,0.13454589247703552,0.12729492783546448,0.11118163913488388,0.11359862983226776,0.11601562798023224,0.10393066704273224,1.0,1.077651858329773,1.582668423652649,0.3184165954589844,1.2635993957519531,-0.10807666182518005,0.8299499154090881,0.9415387511253357,0.06517762690782547,0.043637506663799286,-0.32764673233032227,0,2491956,183,11,0,2022-07-04T07:32:34,-211,-3.51215,1656909163.187337,2022-07-04T07:32:43,-211884,-3.5313999999999997,97.10499533160373
1656909162,221000,2507038,0.4486542344093323,-0.07896314561367035,10.055837631225586,1.9018973112106323,-1.3512299060821533,-1.8350410461425781,-469.900634765625,-309.1759033203125,-1063.1209716796875,-0.05864306166768074,-0.0073303827084600925,-0.1667662113904953,0.09909667819738388,0.7669922113418579,0.5978027582168579,0.1812744140625,0.13615722954273224,0.12246093899011612,0.0966796875,0.10312499850988388,0.10554198920726776,0.09990234673023224,1.0,1.077651858329773,1.582668423652649,0.3268944323062897,0.6846407651901245,-0.2769549489021301,0.8060294985771179,0.9570419788360596,0.1296103596687317,0.13492995500564575,-0.221507728099823,0,2491956,147,11,0,2022-07-04T07:32:42,-203,-3.37965,1656909171.3535159,2022-07-04T07:32:51,-203935,-3.3989166666666666,96.95058625191926
1656909166,398000,2511216,0.32183465361595154,0.18903297185897827,10.059426307678223,1.8908127546310425,-1.3317590951919556,-1.8442223072052002,-477.49853515625,-306.2536315917969,-1072.47216796875,-0.10690141469240189,-0.036651913076639175,-0.17043140530586243,0.1007080078125,0.774243175983429,0.579272449016571,0.12004394829273224,0.12326660007238388,0.12165527045726776,0.09426269680261612,0.10231933742761612,0.104736328125,0.10393066704273224,1.0,1.0769357681274414,1.5837628841400146,0.31287238001823425,0.7197729349136353,-0.17948676645755768,0.8412017822265625,0.946976900100708,0.13591408729553223,0.13282053172588348,-0.2590767741203308,0,2509126,8,11,0,2022-07-04T07:32:46,-199,-3.3100333333333336,1656909173.177953,2022-07-04T07:32:53,-199757,-3.3292833333333336,97.02782729581585
1656909183,581000,2528398,-0.13519448041915894,0.8458627462387085,9.948160171508789,2.07289981842041,-1.4677014350891113,-1.8697148561477661,-433.6645202636719,-351.8410339355469,-1075.97900390625,-0.10445795208215714,-0.06169738993048668,-0.13927727937698364,0.5623534917831421,0.7774658203125,0.579272449016571,0.18852539360523224,0.11601562798023224,0.11440429836511612,0.08942870795726776,0.10634765774011612,0.11440429836511612,0.11520995944738388,1.0,1.0769357681274414,1.5837628841400146,0.31989187002182007,1.2669919729232788,-0.07262296974658966,0.7668850421905518,0.9371379613876343,0.07683775573968887,0.024958644062280655,-0.33947816491127014,0,2509126,242,11,0,2022-07-04T07:33:03,-182,-3.0236500000000004,1656909193.244452,2022-07-04T07:33:13,-182575,-3.0429166666666663,97.06850892758528
1656909187,540000,2532357,-1.1569297313690186,1.691725492477417,9.730413436889648,2.3217709064483643,-1.4897513389587402,-1.9128836393356323,-428.9888916015625,-412.62420654296875,-1105.7861328125,-0.10384709388017654,-0.06414084881544113,-0.17470745742321014,0.4809814393520355,0.7629638910293579,0.5035400390625,0.18046875298023224,0.10393066704273224,0.09829101711511612,0.09104003757238388,0.09023437649011612,0.1248779296875,0.09829101711511612,1.0,1.0760432481765747,1.5851067304611206,0.31235337257385254,1.112836480140686,-0.05519434064626694,0.5894612073898315,0.9310433864593506,0.14775557816028595,0.07852634787559509,-0.3242839276790619,0,2532056,96,11,0,2022-07-04T07:33:07,-178,-2.957666666666667,1656909195.3251488,2022-07-04T07:33:15,-178616,-2.9769333333333337,96.61141381299088
1656909191,726000,2536543,0.20937198400497437,0.6640082597732544,9.955338478088379,1.938779354095459,-1.4015966653823853,-1.8615449666976929,-455.8737487792969,-318.5271911621094,-1077.7322998046875,-0.09224065393209457,-0.048258353024721146,-0.17348572611808777,0.5897461175918579,0.7919677495956421,0.584912121295929,0.16999511420726776,0.09748534858226776,0.12326660007238388,0.09990234673023224,0.11762695014476776,0.11923827975988388,0.13857421278953552,1.0,1.0758848190307617,1.5853471755981445,0.323157399892807,1.3052709102630615,-0.01962408982217312,0.7622793912887573,0.9302728772163391,0.05312308296561241,0.004997381009161472,-0.36296749114990234,0,2535976,218,11,0,2022-07-04T07:33:11,-174,-2.8879,1656909197.460945,2022-07-04T07:33:17,-174430,-2.907166666666667,96.35616229853375
1656909199,101000,2543918,0.16271193325519562,0.6915256977081299,9.93858814239502,1.9513840675354004,-1.3878226280212402,-1.8686670064926147,-461.13385009765625,-321.449462890625,-1084.7457275390625,-0.08491026610136032,-0.039706241339445114,-0.152105450630188,0.588134765625,0.782299816608429,0.5760498046875,0.16274413466453552,0.0966796875,0.12648925185203552,0.09909667819738388,0.12246093899011612,0.120849609375,0.13615722954273224,1.0,1.0756841897964478,1.5856515169143677,0.3175185024738312,1.3177189826965332,-0.011212388053536415,0.7647610306739807,0.9293426871299744,0.049980729818344116,0.0008791296859271824,-0.3658187687397003,0,2540965,173,11,0,2022-07-04T07:33:19,-166,-2.7649833333333333,1656909205.538621,2022-07-04T07:33:25,-167055,-2.78425,96.71488370374354
1656909202,659000,2547476,0.07896314561367035,0.7286144495010376,9.91107177734375,1.9657928943634033,-1.3831262588500977,-1.861249566078186,-461.7182922363281,-324.9561767578125,-1079.485595703125,-0.05742133408784866,-0.018325956538319588,-0.15454889833927155,0.5921630859375,0.786328136920929,0.580883800983429,0.169189453125,0.1007080078125,0.12648925185203552,0.10231933742761612,0.12246093899011612,0.12407226860523224,0.13776855170726776,1.0,1.075442910194397,1.5860179662704468,0.3195667564868927,1.3108049631118774,-0.016389375552535057,0.8301652073860168,0.931399941444397,0.051819026470184326,0.0039408160373568535,-0.3602684736251831,0,2546972,16,11,0,2022-07-04T07:33:22,-163,-2.7056833333333334,1656909211.349988,2022-07-04T07:33:31,-163497,-2.72495,96.83413851968459
1656909203,72000,2547889,0.08853443711996078,0.6532405614852905,9.984052658081055,1.974360466003418,-1.413683295249939,-1.8688081502914429,-452.3670349121094,-327.29400634765625,-1081.823486328125,-0.09162978827953339,-0.05375614017248154,-0.15882496535778046,0.5841064453125,0.786328136920929,0.5696045160293579,0.16757813096046448,0.10393066704273224,0.12407226860523224,0.09909667819738388,0.12004394829273224,0.1248779296875,0.13857421278953552,1.0,1.075442910194397,1.5860179662704468,0.31817829608917236,1.3067691326141357,-0.013168812729418278,0.7714941501617432,0.9307991862297058,0.048246175050735474,0.007101339753717184,-0.36226341128349304,0,2546972,31,11,0,2022-07-04T07:33:23,-162,-2.6988,1656909218.1194239,2022-07-04T07:33:38,-163084,-2.7180666666666666,96.82856015519594
1656909212,184000,2557001,0.04666003957390785,0.8063811659812927,10.047462463378906,1.9991031885147095,-1.3912893533706665,-1.8671680688858032,-459.3804626464844,-333.1385192871094,-1082.992431640625,-0.06963863968849182,-0.018936822190880775,-0.16004669666290283,0.579272449016571,0.7839111089706421,0.567187488079071,0.15629883110523224,0.08217773586511612,0.12165527045726776,0.09426269680261612,0.12246093899011612,0.12407226860523224,0.13776855170726776,1.0,1.0750395059585571,1.5866296291351318,0.3200508654117584,1.2959452867507935,0.011107506230473518,0.76366126537323,0.9260847568511963,0.056252095848321915,0.005750342272222042,-0.3730544149875641,0,2557001,32,11,0,2022-07-04T07:33:32,-153,-2.5469333333333335,1656909220.511644,2022-07-04T07:33:40,-153972,-2.5662000000000003,96.53026429210284
1656909216,461000,2561278,0.08614161610603333,0.784845769405365,10.028319358825684,1.9848695993423462,-1.3890502452850342,-1.8697866201400757,-460.54937744140625,-329.6318054199219,-1085.3302001953125,-0.10934487730264664,-0.05497787147760391,-0.1673770695924759,0.583300769329071,0.7879394292831421,0.5655761957168579,0.16838379204273224,0.09748534858226776,0.12326660007238388,0.09990234673023224,0.12810058891773224,0.14260253310203552,0.15629883110523224,1.0,1.0748796463012695,1.5868721008300781,0.31990310549736023,1.2948585748672485,0.021100187674164772,0.7666144967079163,0.9201422929763794,0.07326733320951462,0.022376008331775665,-0.3840174376964569,0,2560974,149,11,0,2022-07-04T07:33:36,-149,-2.47565,1656909227.072028,2022-07-04T07:33:47,-149695,-2.4949166666666667,96.28773926447984
1656909220,484000,2565301,-0.7082754969596863,1.4297114610671997,10.094121932983398,2.116978406906128,-1.4505615234375,-1.8901281356811523,-441.2624206542969,-362.3612060546875,-1093.5125732421875,-0.08918632566928864,-0.010384708642959595,-0.17287486791610718,0.5478515625,0.784716784954071,0.5341552495956421,0.16354981064796448,0.09184570610523224,0.11359862983226776,0.08620605617761612,0.10312499850988388,0.13051757216453552,0.14582519233226776,1.0,1.0747179985046387,1.587117314338684,0.3182154595851898,1.260485053062439,0.013028997927904129,0.7591579556465149,0.9193283319473267,0.11362145096063614,0.04973099008202553,-0.37343335151672363,0,2564997,5,11,0,2022-07-04T07:33:40,-145,-2.4086,1656909228.779933,2022-07-04T07:33:48,-145672,-2.4278666666666666,96.05961717279705
1656909223,940000,2568757,-1.0516455173492432,2.179861307144165,9.743573188781738,2.2879159450531006,-1.568890929222107,-1.9250744581222534,-404.44183349609375,-405.0262756347656,-1106.37060546875,-0.10018189996480942,-0.02871066704392433,-0.18448130786418915,0.506762683391571,0.7758544683456421,0.49870604276657104,0.17724609375,0.11198730766773224,0.11279296875,0.11359862983226776,0.10795898735523224,0.14824219048023224,0.10715331882238388,1.0,1.0745973587036133,1.5873003005981445,0.3106892704963684,1.1123096942901611,-0.023421090096235275,0.833496630191803,0.9250355362892151,0.1670977771282196,0.06649760901927948,-0.3346126675605774,0,2567990,102,11,0,2022-07-04T07:33:43,-142,-2.351,1656909234.772012,2022-07-04T07:33:54,-142216,-2.3702666666666667,95.86364651685479
1656909229,448000,2574265,-0.9212367534637451,2.1379871368408203,9.095118522644043,2.288632869720459,-1.6236189603805542,-1.9459706544876099,-388.6615905761719,-405.6107482910156,-1116.3062744140625,-0.1014036312699318,0.039095375686883926,-0.2828305959701538,0.10312499850988388,0.0926513671875,0.08540038764476776,0.07573242485523224,0.08137206733226776,0.12971191108226776,0.0926513671875,0.11359862983226776,0.13535156846046448,0.12810058891773224,1.0,1.0745973587036133,1.5873003005981445,0.03083067201077938,2.146449327468872,1.737234354019165,0.7113710045814514,0.2766818404197693,0.16429847478866577,-0.03993106633424759,-0.9459697008132935,0,2567990,6,11,0,2022-07-04T07:33:49,-136,-2.2592,1656909238.1915479,2022-07-04T07:33:58,-136708,-2.2784666666666666,96.29244147362279
1656909233,104000,2577921,-1.3746764659881592,2.2468605041503906,9.859624862670898,2.329775810241699,-1.6062489748001099,-1.9345697164535522,-392.7527770996094,-415.5464782714844,-1109.2928466796875,-0.07452555745840073,-0.0555887371301651,-0.1618792861700058,0.48017579317092896,0.764575183391571,0.47050780057907104,0.16677245497703552,0.11037597805261612,0.11359862983226776,0.07573242485523224,0.08781738579273224,0.06767578423023224,0.09990234673023224,1.0,1.0745973587036133,1.5873003005981445,0.29184553027153015,1.2249433994293213,-0.08035784959793091,0.70164555311203,0.9330465197563171,0.1456906497478485,0.05570414662361145,-0.324184387922287,0,2567990,108,11,0,2022-07-04T07:33:53,-132,-2.1982666666666666,1656909243.5952408,2022-07-04T07:34:03,-133052,-2.2175333333333334,96.63490611098487
1656909237,178000,2581995,-0.41994035243988037,2.669193744659424,10.162317276000977,2.3394856452941895,-1.6020029783248901,-1.9332430362701416,-393.9216613769531,-417.88427734375,-1108.7083740234375,-0.17470745742321014,-0.10934487730264664,-0.18387043476104736,0.502734363079071,0.766186535358429,0.534960925579071,0.21430663764476776,0.12165527045726776,0.10312499850988388,0.07009277492761612,0.07895507663488388,0.09990234673023224,0.10231933742761612,1.0,1.0740362405776978,1.588150143623352,0.3153221905231476,1.1900042295455933,-0.11895884573459625,0.7054229974746704,0.9457885026931763,0.15051546692848206,0.021527351811528206,-0.2869943380355835,0,2581945,225,11,0,2022-07-04T07:33:57,-128,-2.1303666666666667,1656909245.79934,2022-07-04T07:34:05,-128978,-2.1496333333333335,97.17891084537708
1656909242,524000,2587341,-0.4618147611618042,1.32921302318573,10.001997947692871,2.2056612968444824,-1.5179405212402344,-1.9035307168960571,-419.6376647949219,-384.5704345703125,-1095.850341796875,-0.10506881773471832,-0.06108652427792549,-0.1722639948129654,0.5478515625,0.7710205316543579,0.5542968511581421,0.1893310546875,0.11843261867761612,0.15227051079273224,0.10634765774011612,0.13212890923023224,0.10795898735523224,0.11923827975988388,1.0,1.0740362405776978,1.588150143623352,0.2949132025241852,1.27286958694458,-0.07289222627878189,0.8456464409828186,0.9358735084533691,0.10615145415067673,0.03863172233104706,-0.333736777305603,0,2581945,120,11,0,2022-07-04T07:34:02,-123,-2.0412666666666666,1656909251.556485,2022-07-04T07:34:11,-123632,-2.0605333333333333,97.66222539281411
1656909250,159000,2594976,-0.8673981428146362,0.9116653800010681,9.32722282409668,2.123840093612671,-1.527242660522461,-1.8983988761901855,-416.71539306640625,-364.6990051269531,-1091.1746826171875,-0.24495695531368256,0.0018325956771150231,-0.21380282938480377,0.5011230707168579,0.7597411870956421,0.502734363079071,0.169189453125,0.11198730766773224,0.1168212890625,0.07895507663488388,0.08701171725988388,0.06767578423023224,0.09748534858226776,1.0,1.0736740827560425,1.5887006521224976,0.295289009809494,1.2586252689361572,-0.09694887697696686,0.697600245475769,0.9365711808204651,0.10223200917243958,0.06422370672225952,-0.32902634143829346,0,2590957,85,11,0,2022-07-04T07:34:10,-115,-1.9140166666666665,1656909259.706276,2022-07-04T07:34:19,-115997,-1.9332833333333332,96.87290226525278
1656909293,542000,2638359,-1.0013962984085083,2.390429735183716,10.013962745666504,2.2143783569335938,-1.6821324825286865,-1.9307106733322144,-368.2057189941406,-388.0771484375,-1098.1881103515625,-0.07208209484815598,-0.0403171069920063,-0.16798794269561768,0.515625,0.778271496295929,0.516430675983429,0.18046875298023224,0.13212890923023224,0.13454589247703552,0.07492675632238388,0.08378906548023224,0.10634765774011612,0.11037597805261612,1.0,1.0717860460281372,1.5915699005126953,0.301899790763855,1.2667063474655151,-0.0835706889629364,0.7256852984428406,0.9341244697570801,0.15378275513648987,0.03897298127412796,-0.3197552561759949,0,2637992,33,11,0,2022-07-04T07:34:53,-72,-1.1909666666666667,1656909304.8798409,2022-07-04T07:35:04,-72614,-1.2102333333333335,97.23471942759332
1656909317,14000,2661831,-0.8769695162773132,1.2646067142486572,9.976873397827148,2.1764578819274902,-1.5184687376022339,-1.8769783973693848,-416.71539306640625,-377.5569763183594,-1075.39453125,-0.08368853479623795,-0.06169738993048668,-0.14294245839118958,0.515625,0.7774658203125,0.5494629144668579,0.2054443359375,0.13776855170726776,0.13615722954273224,0.07734374701976776,0.0926513671875,0.09909667819738388,0.1087646484375,1.0,1.0708625316619873,1.5929741859436035,0.30474263429641724,1.2523854970932007,-0.12460517138242722,0.7196866273880005,0.9457129240036011,0.09210138767957687,0.04269928112626076,-0.3087413012981415,0,2660963,192,11,0,2022-07-04T07:35:17,-48,-0.7997666666666666,1656909328.125129,2022-07-04T07:35:28,-49142,-0.8190333333333334,97.83099626288794
1656909335,179000,2679996,-1.4715858697891235,1.8017953634262085,9.92423152923584,2.323507308959961,-1.5750335454940796,-1.9201204776763916,-401.5195617675781,-413.7931213378906,-1101.6949462890625,-0.10445795208215714,-0.05192354694008827,-0.1514945775270462,0.4777587950229645,0.766186535358429,0.5333496332168579,0.2135009765625,0.13535156846046448,0.13454589247703552,0.07412109524011612,0.088623046875,0.104736328125,0.11118163913488388,1.0,1.0700981616973877,1.5941370725631714,0.29920604825019836,1.1959950923919678,-0.12976586818695068,0.7318500280380249,0.9449608325958252,0.11899815499782562,0.051527075469493866,-0.3003888428211212,0,2679996,185,11,0,2022-07-04T07:35:35,-30,-0.4970166666666667,1656909344.757556,2022-07-04T07:35:44,-30977,-0.5162833333333333,98.17970200367412
1656909342,675000,2687491,-1.2335000038146973,1.6809579133987427,9.90269660949707,2.2582974433898926,-1.5851482152938843,-1.9083919525146484,-397.42840576171875,-398.0128479003906,-1091.7591552734375,-0.09040805697441101,-0.0354301854968071,-0.16859880089759827,0.49226075410842896,0.7710205316543579,0.5381835699081421,0.21188965439796448,0.14179687201976776,0.13535156846046448,0.07492675632238388,0.08701171725988388,0.1007080078125,0.10795898735523224,1.0,1.069818139076233,1.5945631265640259,0.3009403347969055,1.2223117351531982,-0.13702121376991272,0.7287912368774414,0.9476432204246521,0.11136346310377121,0.048911310732364655,-0.295259565114975,0,2686974,144,11,0,2022-07-04T07:35:42,-23,-0.3720833333333333,1656909352.3680248,2022-07-04T07:35:52,-23482,-0.39136666666666664,98.30631743443584
1656909354,533000,2699349,-0.9260223507881165,0.7836494445800781,9.985248565673828,2.2391819953918457,-1.4405114650726318,-1.8757071495056152,-441.84686279296875,-392.1683044433594,-1082.992431640625,-0.15332718193531036,-0.05742133408784866,-0.22479841113090515,0.5059570074081421,0.774243175983429,0.5478515625,0.20866699516773224,0.13535156846046448,0.12890625,0.07412109524011612,0.09023437649011612,0.104736328125,0.11601562798023224,1.0,1.0693352222442627,1.5952982902526855,0.3063167929649353,1.2358149290084839,-0.11625508964061737,0.7244156002998352,0.9440378546714783,0.06572156399488449,0.049153391271829605,-0.3194637894630432,0,2698995,225,11,0,2022-07-04T07:35:54,-11,-0.17445000000000002,1656909363.0164208,2022-07-04T07:36:03,-11624,-0.19373333333333334,97.94941794030058
1656909364,714000,2709530,-1.7336000204086304,1.7994027137756348,11.97607707977295,2.347278356552124,-1.5734730958938599,-1.9071640968322754,-400.35064697265625,-419.6376647949219,-1091.7591552734375,-0.22357667982578278,0.05619960278272629,-0.20402899384498596,0.48017579317092896,0.7694091796875,0.5462402105331421,0.2255859375,0.14179687201976776,0.1248779296875,0.07492675632238388,0.08701171725988388,0.09829101711511612,0.10393066704273224,1.0,1.0689347982406616,1.5959078073501587,0.3058869540691376,1.181789755821228,-0.15684370696544647,0.719301700592041,0.943938672542572,0.1287822276353836,0.08613359928131104,-0.29150626063346863,0,2708975,3,11,0,2022-07-04T07:36:04,-1,-0.004766666666666667,1656909372.05582,2022-07-04T07:36:12,-1443,-0.024050000000000002,97.60189056396484
