time_s,time_us,time_steady,last_report_time,last_good_report_time,reports_counter,bad_reports_counter,last_mistake,ignorance_depth,punishments_counter,last_punishment_time,seq,srcSystem,srcComponent,time_gregorian,time_s_from_launch,mins_from_launch,log_timestamp,log_timestamp_gregorian,time_steady_from_launch,mins_steady_from_launch,baro_altitude
1656909104,590400,2451051,2451051,2451051,65481,0,0,0,0,0,98,13,2,2022-07-04T07:31:44,-261,-4.34016,1656909113.28646,2022-07-04T07:31:53,-259922,-4.332033333333333,96.08978271484375
1656909143,962900,2490298,2490298,2490298,66481,0,0,0,0,0,63,13,2,2022-07-04T07:32:23,-222,-3.6839516666666667,1656909155.4123049,2022-07-04T07:32:35,-220675,-3.677916666666667,97.39922237399372
1656909181,829800,2528165,2528165,2528165,67481,0,0,0,0,0,29,13,2,2022-07-04T07:33:01,-184,-3.0528366666666664,1656909189.313437,2022-07-04T07:33:09,-182808,-3.0467999999999997,96.94643603499527
1656909259,230900,2604564,2604564,2604564,69481,0,0,0,0,0,253,13,2,2022-07-04T07:34:19,-106,-1.7628183333333332,1656909268.193745,2022-07-04T07:34:28,-106409,-1.7734833333333335,97.33749846917755
1656909337,558200,2682890,2682890,2682890,71481,0,0,0,0,0,185,13,2,2022-07-04T07:35:37,-28,-0.45736333333333334,1656909344.8978798,2022-07-04T07:35:44,-28083,-0.46804999999999997,98.28963125581043
1656909376,806600,2722138,2722138,2722138,72481,0,0,0,0,0,150,13,2,2022-07-04T07:36:16,11,0.19677666666666666,1656909386.5272279,2022-07-04T07:36:26,11165,0.18608333333333332,157.9412284071879
1656909452,373000,2797702,2797702,2797702,74481,0,0,0,0,0,82,13,2,2022-07-04T07:37:32,87,1.4562166666666667,1656909457.833449,2022-07-04T07:37:37,86729,1.4454833333333332,621.0181200283837
1656909491,271700,2836600,2836600,2836600,75481,0,0,0,0,0,47,13,2,2022-07-04T07:38:11,126,2.104528333333333,1656909498.176512,2022-07-04T07:38:18,125627,2.093783333333333,858.3874523233661
1656909530,688300,2876016,2876016,2876016,76481,0,0,0,0,0,12,13,2,2022-07-04T07:38:50,165,2.7614716666666665,1656909538.5599089,2022-07-04T07:38:58,165043,2.750716666666667,1091.2719066342145
1656909567,776800,2913104,2913104,2913104,77481,0,0,0,0,0,235,13,2,2022-07-04T07:39:27,202,3.3796133333333334,1656909574.5918598,2022-07-04T07:39:34,202131,3.36885,1310.8469742584002
1656909606,545000,2952275,2952275,2952275,78481,0,0,0,0,0,200,13,2,2022-07-04T07:40:06,241,4.0257499999999995,1656909614.3943648,2022-07-04T07:40:14,241302,4.0217,1542.447996151706
1656909644,442800,2990022,2990022,2990022,79481,0,0,0,0,0,165,13,2,2022-07-04T07:40:44,279,4.65738,1656909655.0475008,2022-07-04T07:40:55,279049,4.650816666666667,1776.7733141325364
1656909683,930400,3029255,3029255,3029255,80481,0,0,0,0,0,132,13,2,2022-07-04T07:41:23,318,5.315506666666667,1656909689.992657,2022-07-04T07:41:29,318282,5.3046999999999995,2027.6472476961621
1656909722,630500,3068023,3068023,3068023,81481,0,0,0,0,0,97,13,2,2022-07-04T07:42:02,357,5.960508333333333,1656909730.800777,2022-07-04T07:42:10,357050,5.950833333333334,2276.9335189223207
1656909760,21100,3105413,3105413,3105413,82481,0,0,0,0,0,62,13,2,2022-07-04T07:42:40,395,6.583685,1656909766.2403,2022-07-04T07:42:46,394440,6.574,2503.0171855307826
1656909799,727100,3145340,3145340,3145340,83481,0,0,0,0,0,29,13,2,2022-07-04T07:43:19,434,7.245451666666667,1656909807.141312,2022-07-04T07:43:27,434367,7.239450000000001,2735.153181794016
1656909832,517600,3184093,3184093,3184093,84481,0,0,0,0,0,250,13,2,2022-07-04T07:43:52,467,7.79196,1656909847.102373,2022-07-04T07:44:07,473120,7.8853333333333335,2942.1286572302524
1656909956,215600,3301879,3301879,3301879,87481,0,0,0,0,0,147,13,2,2022-07-04T07:45:56,591,9.853593333333333,1656909970.3425128,2022-07-04T07:46:10,590906,9.848433333333332,3672.0788358899053
1656909994,161800,3339481,3339481,3339481,88481,0,0,0,0,0,112,13,2,2022-07-04T07:46:34,629,10.48603,1656910003.2159169,2022-07-04T07:46:43,628508,10.475133333333334,3899.0835800808554
1656910071,444400,3416907,3416907,3416907,90481,0,0,0,0,0,44,13,2,2022-07-04T07:47:51,706,11.774073333333332,1656910079.735544,2022-07-04T07:47:59,705934,11.765566666666667,4353.729841436307
1656910108,877400,3454509,3454509,3454509,91481,0,0,0,0,0,9,13,2,2022-07-04T07:48:28,743,12.397956666666666,1656910115.665912,2022-07-04T07:48:35,743536,12.392266666666666,4589.842665834978
1656910188,798900,3534115,3534115,3534115,93481,0,0,0,0,0,197,13,2,2022-07-04T07:49:48,823,13.729981666666667,1656910196.326236,2022-07-04T07:49:56,823142,13.719033333333334,5072.256359203544
1656910264,265300,3610580,3610580,3610580,95481,0,0,0,0,0,129,13,2,2022-07-04T07:51:04,899,14.987755,1656910271.7833009,2022-07-04T07:51:11,899607,14.99345,5556.00996273235
1656910381,28500,3727656,3727656,3727656,98481,0,0,0,0,0,26,13,2,2022-07-04T07:53:01,1016,16.933808333333335,1656910389.401572,2022-07-04T07:53:09,1016683,16.944716666666668,6272.193543109666
1656910420,465700,3767113,3767113,3767113,99481,0,0,0,0,0,247,13,2,2022-07-04T07:53:40,1055,17.591095,1656910428.1816719,2022-07-04T07:53:48,1056140,17.602333333333334,6509.95681151513
1656910457,427400,3803740,3803740,3803740,100481,0,0,0,0,0,212,13,2,2022-07-04T07:54:17,1092,18.207123333333335,1656910464.101472,2022-07-04T07:54:24,1092767,18.212783333333334,6743.252261877976
1656910497,166700,3843479,3843479,3843479,101481,0,0,0,0,0,179,13,2,2022-07-04T07:54:57,1132,18.869445,1656910505.7605128,2022-07-04T07:55:05,1132506,18.8751,6981.352031583743
1656910536,586200,3882898,3882898,3882898,102481,0,0,0,0,0,144,13,2,2022-07-04T07:55:36,1171,19.526436666666665,1656910546.558457,2022-07-04T07:55:46,1171925,19.532083333333333,7217.001716466861
1656910613,503000,3959814,3959814,3959814,104481,0,0,0,0,0,76,13,2,2022-07-04T07:56:53,1248,20.80838333333333,1656910621.6584558,2022-07-04T07:57:01,1248841,20.814016666666664,7725.6604011911295
1656910689,720600,4036031,4036031,4036031,106481,0,0,0,0,0,6,13,2,2022-07-04T07:58:09,1324,22.07867666666667,1656910697.1062999,2022-07-04T07:58:17,1325058,22.0843,8214.96533114634
1656910730,438800,4075975,4075975,4075975,107481,0,0,0,0,0,229,13,2,2022-07-04T07:58:50,1365,22.757313333333332,1656910737.526176,2022-07-04T07:58:57,1365002,22.75003333333333,8474.64456679996
1656910769,539200,4115075,4115075,4115075,108481,0,0,0,0,0,194,13,2,2022-07-04T07:59:29,1404,23.408986666666667,1656910777.535641,2022-07-04T07:59:37,1404102,23.4017,8737.88666675297
1656910807,644400,4153038,4153038,4153038,109481,0,0,0,0,0,159,13,2,2022-07-04T08:00:07,1442,24.044073333333333,1656910814.214196,2022-07-04T08:00:14,1442065,24.03441666666667,8974.315360546565
1656910847,339700,4192650,4192650,4192650,110481,0,0,0,0,0,126,13,2,2022-07-04T08:00:47,1482,24.705661666666668,1656910854.883132,2022-07-04T08:00:54,1481677,24.694616666666665,9251.746540329817
1656910923,892600,4269202,4269202,4269202,112481,0,0,0,0,0,56,13,2,2022-07-04T08:02:03,1558,25.98154333333333,1656910931.332393,2022-07-04T08:02:11,1558229,25.970483333333334,9744.95866575921
1656910961,435600,4307009,4307009,4307009,113481,0,0,0,0,0,23,13,2,2022-07-04T08:02:41,1596,26.60726,1656910970.561853,2022-07-04T08:02:50,1596036,26.6006,10012.122816614732
1656911071,497200,4421806,4421806,4421806,116481,0,0,0,0,0,176,13,2,2022-07-04T08:04:31,1706,28.44162,1656911081.990201,2022-07-04T08:04:41,1710833,28.513883333333336,10737.182559962182
1656911155,100500,4500693,4500693,4500693,118481,0,0,0,0,0,106,13,2,2022-07-04T08:05:55,1790,29.835008333333334,1656911163.307813,2022-07-04T08:06:03,1789720,29.828666666666667,11261.855455671133
1656911192,153900,4537462,4537462,4537462,119481,0,0,0,0,0,73,13,2,2022-07-04T08:06:32,1827,30.452565,1656911198.7593958,2022-07-04T08:06:38,1826489,30.441483333333334,11461.97591414552
1656911269,998800,4615481,4615481,4615481,121481,0,0,0,0,0,3,13,2,2022-07-04T08:07:49,1904,31.74998,1656911279.3656368,2022-07-04T08:07:59,1904508,31.7418,11935.996210164509
1656911308,317500,4653969,4653969,4653969,122481,0,0,0,0,0,226,13,2,2022-07-04T08:08:28,1943,32.388625000000005,1656911316.236196,2022-07-04T08:08:36,1942996,32.38326666666667,12167.962708935333
1656911384,358400,4729666,4729666,4729666,124481,0,0,0,0,0,156,13,2,2022-07-04T08:09:44,2019,33.655973333333336,1656911392.403705,2022-07-04T08:09:52,2018693,33.64488333333333,12631.950568413182
1656911422,53300,4767361,4767361,4767361,125481,0,0,0,0,0,123,13,2,2022-07-04T08:10:22,2057,34.28422166666667,1656911431.1032689,2022-07-04T08:10:31,2056388,34.273133333333334,12872.385882386534
1656911460,770700,4806078,4806078,4806078,126481,0,0,0,0,0,88,13,2,2022-07-04T08:11:00,2095,34.92951166666667,1656911467.082309,2022-07-04T08:11:07,2095105,34.918416666666666,13113.421580703241
1656911499,204700,4844616,4844616,4844616,127481,0,0,0,0,0,53,13,2,2022-07-04T08:11:39,2134,35.57007833333333,1656911506.7631888,2022-07-04T08:11:46,2133643,35.560716666666664,13294.645863896936
1656911537,533900,4882841,4882841,4882841,128481,0,0,0,0,0,20,13,2,2022-07-04T08:12:17,2172,36.20889833333333,1656911544.1807199,2022-07-04T08:12:24,2171868,36.1978,13501.9755004606
1656911575,940400,4921462,4921462,4921462,129481,0,0,0,0,0,241,13,2,2022-07-04T08:12:55,2210,36.84900666666667,1656911583.602437,2022-07-04T08:13:03,2210489,36.841483333333336,13667.344483121202
1656911652,390400,4998035,4998035,4998035,131481,0,0,0,0,0,173,13,2,2022-07-04T08:14:12,2287,38.123173333333334,1656911660.068816,2022-07-04T08:14:20,2287062,38.1177,14120.108550927034
1656911727,55500,5073627,5073627,5073627,133481,0,0,0,0,0,103,13,2,2022-07-04T08:15:27,2362,39.36759166666666,1656911737.057157,2022-07-04T08:15:37,2362654,39.37756666666667,14459.49762559307
1656911765,974400,5112281,5112281,5112281,134481,0,0,0,0,0,70,13,2,2022-07-04T08:16:05,2400,40.01624,1656911773.847661,2022-07-04T08:16:13,2401308,40.0218,14666.786739003832
1656911803,967300,5150407,5150407,5150407,135481,0,0,0,0,0,35,13,2,2022-07-04T08:16:43,2438,40.649454999999996,1656911815.099424,2022-07-04T08:16:55,2439434,40.65723333333334,14868.182332002401
1656911841,608000,5187915,5187915,5187915,136481,0,0,0,0,0,0,13,2,2022-07-04T08:17:21,2476,41.2768,1656911848.456229,2022-07-04T08:17:28,2476942,41.28236666666667,15124.164266858439
1656911880,499400,5226806,5226806,5226806,137481,0,0,0,0,0,223,13,2,2022-07-04T08:18:00,2515,41.92499,1656911888.904657,2022-07-04T08:18:08,2515833,41.930550000000004,15330.932795567662
1656911918,501400,5265222,5265222,5265222,138481,0,0,0,0,0,188,13,2,2022-07-04T08:18:38,2553,42.55835666666667,1656911929.2448769,2022-07-04T08:18:49,2554249,42.570816666666666,15566.357901921941
1656911957,115700,5303526,5303526,5303526,139481,0,0,0,0,0,153,13,2,2022-07-04T08:19:17,2592,43.20192833333333,1656911965.063109,2022-07-04T08:19:25,2592553,43.20921666666666,15753.352018709484
1656911996,82300,5342388,5342388,5342388,140481,0,0,0,0,0,120,13,2,2022-07-04T08:19:56,2631,43.851371666666665,1656912005.363869,2022-07-04T08:20:05,2631415,43.85691666666666,15960.321314582707
1656912035,616700,5381146,5381146,5381146,141481,0,0,0,0,0,85,13,2,2022-07-04T08:20:35,2670,44.51027833333333,1656912042.3419049,2022-07-04T08:20:42,2670173,44.50288333333333,16137.752601821743
1656912075,54000,5420917,5420917,5420917,142481,0,0,0,0,0,50,13,2,2022-07-04T08:21:15,2710,45.167566666666666,1656912088.971369,2022-07-04T08:21:28,2709944,45.165733333333336,16311.224824500063
1656912112,977400,5458558,5458558,5458558,143481,0,0,0,0,0,17,13,2,2022-07-04T08:21:52,2747,45.79962333333334,1656912121.88904,2022-07-04T08:22:01,2747585,45.793083333333335,16489.776395171706
1656912151,805800,5497386,5497386,5497386,144481,0,0,0,0,0,238,13,2,2022-07-04T08:22:31,2786,46.44676333333334,1656912159.061017,2022-07-04T08:22:39,2786413,46.440216666666664,16677.621051936418
1656912191,845000,5537425,5537425,5537425,145481,0,0,0,0,0,203,13,2,2022-07-04T08:23:11,2826,47.11408333333333,1656912199.7703369,2022-07-04T08:23:19,2826452,47.107533333333336,17020.916860278092
1656912229,483100,5575168,5575168,5575168,146481,0,0,0,0,0,170,13,2,2022-07-04T08:23:49,2864,47.741385,1656912238.442221,2022-07-04T08:23:58,2864195,47.736583333333336,17349.109229314083
1656912269,370500,5614771,5614771,5614771,147481,0,0,0,0,0,135,13,2,2022-07-04T08:24:29,2904,48.406175,1656912276.10168,2022-07-04T08:24:36,2903798,48.39663333333333,17544.52066603921
1656912308,762900,5654387,5654387,5654387,148481,0,0,0,0,0,100,13,2,2022-07-04T08:25:08,2943,49.062715000000004,1656912315.9229279,2022-07-04T08:25:15,2943414,49.056900000000006,17718.482214890653
1656912346,281100,5691855,5691855,5691855,149481,0,0,0,0,0,67,13,2,2022-07-04T08:25:46,2981,49.68801833333334,1656912355.5250928,2022-07-04T08:25:55,2980882,49.68136666666667,17885.958265423415
1656912424,71600,5769471,5769471,5769471,151481,0,0,0,0,0,253,13,2,2022-07-04T08:27:04,3059,50.98452666666667,1656912431.2165918,2022-07-04T08:27:11,3058498,50.97496666666667,18268.983454631027
1656912462,524800,5808241,5808241,5808241,152481,0,0,0,0,0,220,13,2,2022-07-04T08:27:42,3097,51.625413333333334,1656912471.4891129,2022-07-04T08:27:51,3097268,51.62113333333333,18460.538059563216
1656912538,527900,5884414,5884414,5884414,154481,0,0,0,0,0,150,13,2,2022-07-04T08:28:58,3173,52.892131666666664,1656912549.7112958,2022-07-04T08:29:09,3173441,52.89068333333333,18814.746184704327
1656912577,186400,5922728,5922728,5922728,155481,0,0,0,0,0,117,13,2,2022-07-04T08:29:37,3212,53.53644,1656912587.5287008,2022-07-04T08:29:47,3211755,53.529250000000005,18996.484180143976
1656912615,529700,5961010,5961010,5961010,156481,0,0,0,0,0,82,13,2,2022-07-04T08:30:15,3250,54.175495,1656912623.3513799,2022-07-04T08:30:23,3250037,54.16728333333333,19170.32977082003
1656912690,728600,6037309,6037309,6037309,158481,0,0,0,0,0,14,13,2,2022-07-04T08:31:30,3325,55.42881,1656912698.924624,2022-07-04T08:31:38,3326336,55.43893333333333,19533.776466136955
